Event_name,Drug_name,MedDRA_concept_id,MedDRA_concept_name,MedDRA_concept_class_id,ATC_concept_id,ATC_concept_name,ATC_concept_class_id,SNOMED_concept_id,SNOMED_concept_name,SNOMED_concept_class_id,RxNorm_concept_id,RxNorm_concept_name,RxNorm_concept_class_id,Classification,Grade,Control,Level_of_epidemiological_evidence,Population
acute kidney injury,ibuprofen,36315573,Blood creatinine abnormal,PT,21603967,ibuprofen,ATC 5th,NA,NA,NA,1177480,Ibuprofen,Ingredient,PC,PC1,P,II,B
acute kidney injury,quinine,36315573,Blood creatinine abnormal,PT,21604897,quinine,ATC 5th,NA,NA,NA,1760616,Quinine,Ingredient,PC,PC2,P,II,A
acute kidney injury,cyproterone,36315573,Blood creatinine abnormal,PT,21602615,cyproterone,ATC 5th,NA,NA,NA,19010792,Cyproterone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,domperidone,36315573,Blood creatinine abnormal,PT,21600486,domperidone,ATC 5th,NA,NA,NA,19037833,Domperidone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,fluticasone,36315573,Blood creatinine abnormal,PT,21603288,fluticasone,ATC 5th,NA,NA,NA,1149380,fluticasone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,loperamide,36315573,Blood creatinine abnormal,PT,21600646,loperamide,ATC 5th,NA,NA,NA,991876,Loperamide,Ingredient,NC,NC2,N,V,NA
acute kidney injury,mebendazole,36315573,Blood creatinine abnormal,PT,21604941,mebendazole,ATC 5th,NA,NA,NA,1794280,Mebendazole,Ingredient,NC,NC2,N,V,NA
acute kidney injury,methylphenidate,36315573,Blood creatinine abnormal,PT,21604757,methylphenidate,ATC 5th,NA,NA,NA,705944,Methylphenidate,Ingredient,NC,NC2,N,V,NA
acute kidney injury,montelukast,36315573,Blood creatinine abnormal,PT,21603356,montelukast,ATC 5th,NA,NA,NA,1154161,montelukast,Ingredient,NC,NC2,N,V,NA
acute kidney injury,ibuprofen,36315575,Blood creatinine increased,PT,21603967,ibuprofen,ATC 5th,NA,NA,NA,1177480,Ibuprofen,Ingredient,PC,PC1,P,II,B
acute kidney injury,quinine,36315575,Blood creatinine increased,PT,21604897,quinine,ATC 5th,NA,NA,NA,1760616,Quinine,Ingredient,PC,PC2,P,II,A
acute kidney injury,cyproterone,36315575,Blood creatinine increased,PT,21602615,cyproterone,ATC 5th,NA,NA,NA,19010792,Cyproterone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,domperidone,36315575,Blood creatinine increased,PT,21600486,domperidone,ATC 5th,NA,NA,NA,19037833,Domperidone,Ingredient,NC,NC2,N,V,NA
acute kidney injury,fluticasone,36315575,Blood creatinine increased,PT,21603288,fluticasone,ATC 5th,NA,NA,NA,1149380,fluticasone,Ingredient,NC,NC2,N,V,NA
