ATC_concept_class_id,ATC_concept_id,ATC_concept_name,Control,MedDRA_concept_class_id,MedDRA_concept_id,MedDRA_concept_name
ATC 5th,21602320,isotretinoin,N,PT,36315573,Blood creatinine abnormal
ATC 5th,21602320,isotretinoin,N,PT,36315575,Blood creatinine increased
ATC 5th,21602320,isotretinoin,N,PT,36315595,Creatinine renal clearance decreased
ATC 5th,21602320,isotretinoin,N,PT,36315611,Inulin renal clearance decreased
ATC 5th,21602320,isotretinoin,N,PT,37019353,Renal cortical necrosis
ATC 5th,21602320,isotretinoin,N,PT,35506541,Renal papillary necrosis
ATC 5th,21602320,isotretinoin,N,PT,36315599,Creatinine urine decreased
ATC 5th,21602320,isotretinoin,N,PT,36315594,Creatinine renal clearance abnormal
ATC 5th,21602320,isotretinoin,N,PT,36313522,Alanine aminotransferase abnormal
ATC 5th,21602320,isotretinoin,N,PT,36313524,Alanine aminotransferase increased
ATC 5th,21602320,isotretinoin,N,PT,35909522,Biliary cirrhosis
ATC 5th,21602320,isotretinoin,N,PT,36313544,Bilirubin conjugated increased
ATC 5th,21602320,isotretinoin,N,PT,35909527,Hepatic cirrhosis
ATC 5th,21602320,isotretinoin,N,PT,35909611,Hepatic necrosis
ATC 5th,21602320,isotretinoin,N,PT,35909471,Hepatitis cholestatic
ATC 5th,21602320,isotretinoin,N,PT,35909622,Hepatocellular damage neonatal
ATC 5th,21602320,isotretinoin,N,PT,35909624,Hepatocellular injury
ATC 5th,21602320,isotretinoin,N,PT,36312568,Blood alkaline phosphatase increased
ATC 5th,21602320,isotretinoin,N,PT,36312566,Blood alkaline phosphatase abnormal
ATC 5th,21602320,isotretinoin,N,PT,35909628,Mixed liver injury
ATC 5th,21602320,isotretinoin,N,PT,35909503,Liver injury
ATC 5th,21602320,isotretinoin,N,PT,36313543,Bilirubin conjugated abnormal
ATC 5th,21602320,isotretinoin,N,PT,35909606,Cholestatic liver injury
ATC 5th,21602320,isotretinoin,N,PT,42889492,Acute yellow liver atrophy
ATC 5th,21602320,isotretinoin,N,PT,42889495,Drug-induced liver injury
ATC 5th,21602320,isotretinoin,N,PT,36009756,Anaphylactic reaction
ATC 5th,21602320,isotretinoin,N,PT,36009707,Erythema multiforme
ATC 5th,21602320,isotretinoin,N,PT,36045217,Fixed drug eruption
ATC 5th,21602320,isotretinoin,N,PT,35607134,Oculomucocutaneous syndrome
ATC 5th,21602320,isotretinoin,N,PT,37320187,Rash papular
ATC 5th,21602320,isotretinoin,N,PT,36009724,Stevens-Johnson syndrome
ATC 5th,21602320,isotretinoin,N,PT,36009754,Toxic epidermal necrolysis
ATC 5th,21602320,isotretinoin,N,PT,36009755,Toxic skin eruption
ATC 5th,21602320,isotretinoin,N,PT,36313175,Platelet count abnormal
ATC 5th,21602320,isotretinoin,N,PT,36313176,Platelet count decreased
ATC 5th,21602320,isotretinoin,N,PT,35104678,Platelet destruction increased
ATC 5th,21602320,isotretinoin,N,PT,35104679,Platelet disorder
ATC 5th,21602320,isotretinoin,N,PT,35104690,Platelet production decreased
ATC 5th,21602320,isotretinoin,N,PT,35104182,Purpura neonatal
ATC 5th,21602320,isotretinoin,N,PT,35104691,Thrombocytopenia
ATC 5th,21602320,isotretinoin,N,PT,35104692,Thrombocytopenia neonatal
ATC 5th,21602320,isotretinoin,N,PT,35104693,Thrombocytopenic purpura
ATC 5th,21602320,isotretinoin,N,PT,35104688,Heparin-induced thrombocytopenia
ATC 5th,21602320,isotretinoin,N,PT,42889748,Heparin-induced thrombocytopenia test positive
ATC 5th,21602320,isotretinoin,N,PT,42888927,Non-immune heparin associated thrombocytopenia
ATC 5th,21602800,doxycycline,N,PT,36315573,Blood creatinine abnormal
ATC 5th,21602800,doxycycline,N,PT,36315575,Blood creatinine increased
ATC 5th,21602800,doxycycline,N,PT,36315595,Creatinine renal clearance decreased
ATC 5th,21602800,doxycycline,N,PT,36315611,Inulin renal clearance decreased
ATC 5th,21602800,doxycycline,N,PT,37019353,Renal cortical necrosis
ATC 5th,21602800,doxycycline,N,PT,35506541,Renal papillary necrosis
ATC 5th,21602800,doxycycline,N,PT,36315599,Creatinine urine decreased
ATC 5th,21602800,doxycycline,N,PT,36315594,Creatinine renal clearance abnormal
ATC 5th,21602800,doxycycline,N,PT,36313522,Alanine aminotransferase abnormal
ATC 5th,21602800,doxycycline,N,PT,36313524,Alanine aminotransferase increased
ATC 5th,21602800,doxycycline,N,PT,35909522,Biliary cirrhosis
ATC 5th,21602800,doxycycline,N,PT,36313544,Bilirubin conjugated increased
